# distinct drawn objects, most common first
# group  count  w x h  fill  apart  suggested  where (area,room,cx0,cy0,cx1,cy1)
  0    31   16x8    0.36  1.00  slab    4,0,50,5,51,6   # open silhouette -- archway / frame / plant
  1     5   16x15   0.73  1.00  taper   4,0,3,17,4,18   # compact -- prop
  2     4   16x15   0.73  1.00  taper   4,0,8,6,9,7   # compact -- prop
  3     1  144x16   1.00  1.00  slab    4,0,14,10,23,11   # long thin run -- bridge / wall band
  4     1   64x8    1.00  1.00  slab    4,0,47,17,51,18   # long thin run -- bridge / wall band
  5     1   22x16   0.84  1.00  taper   4,0,47,24,50,26   # solid compact -- stump / pot / block
  6     1   29x18   0.81  1.00  taper   4,0,19,32,21,34   # compact -- prop
  7     1  166x10   0.14  1.00  slab    4,0,49,38,60,40   # long thin run -- bridge / wall band
  8     1   32x32   1.00  1.00  taper   4,0,2,44,5,47   # solid compact -- stump / pot / block
  9     1   95x13   0.35  1.00  slab    4,0,21,49,28,50   # long thin run -- bridge / wall band
 10     1  240x8    1.00  1.00  slab    4,0,13,59,28,60   # long thin run -- bridge / wall band
 11    24   16x13   0.85  0.99  taper   4,0,34,4,35,5   # solid compact -- stump / pot / block
 12     2   35x15   0.14  0.99  slab    4,0,48,9,51,11   # long thin run -- bridge / wall band
 13     1   16x16   0.59  0.99  taper   4,0,1,4,2,5   # compact -- prop
 14     1   96x7    0.62  0.99  slab    4,0,4,4,11,5   # long thin run -- bridge / wall band
 15     1   80x7    0.61  0.99  slab    4,0,48,4,54,5   # long thin run -- bridge / wall band
 16     1   67x20   0.09  0.99  slab    4,0,53,13,58,15   # long thin run -- bridge / wall band
 17     1   32x15   0.46  0.99  taper   4,0,12,16,14,17   # compact -- prop
 18     1  144x7    0.62  0.99  slab    4,0,52,27,62,28   # long thin run -- bridge / wall band
 19     1   60x10   0.19  0.99  slab    4,0,56,28,61,30   # long thin run -- bridge / wall band
 20     1   63x18   0.26  0.99  slab    4,0,45,33,50,35   # long thin run -- bridge / wall band
 21     1   80x7    0.61  0.99  slab    4,0,1,39,7,40   # long thin run -- bridge / wall band
 22     1   32x15   0.46  0.99  taper   4,0,17,50,19,51   # compact -- prop
 23     1   31x18   0.30  0.99  slab    4,0,12,55,15,57   # open silhouette -- archway / frame / plant
 24    12   16x14   0.66  0.98  taper   4,0,52,6,53,7   # compact -- prop
 25     3   19x15   0.19  0.98  slab    4,0,21,16,23,18   # open silhouette -- archway / frame / plant
 26     3   19x15   0.19  0.98  slab    4,0,57,16,59,18   # open silhouette -- archway / frame / plant
 27     3   19x20   0.17  0.98  slab    4,0,20,17,22,19   # open silhouette -- archway / frame / plant
 28     2   48x7    0.61  0.98  slab    4,0,47,15,51,16   # long thin run -- bridge / wall band
 29     2   31x16   0.34  0.98  slab    4,0,49,29,52,31   # open silhouette -- archway / frame / plant
 30     1   50x8    0.64  0.98  slab    4,0,32,5,36,6   # long thin run -- bridge / wall band
 31     1   19x20   0.17  0.98  slab    4,0,52,11,54,13   # open silhouette -- archway / frame / plant
 32     1  200x15   0.32  0.98  slab    4,0,1,14,14,15   # long thin run -- bridge / wall band
 33     1   32x15   0.46  0.98  taper   4,0,17,15,19,16   # compact -- prop
 34     1   15x15   0.43  0.98  slab    4,0,51,28,53,30   # open silhouette -- archway / frame / plant
 35     1   32x7    0.60  0.98  slab    4,0,7,29,10,30   # long thin run -- bridge / wall band
 36     1   42x7    0.26  0.98  slab    4,0,7,33,10,34   # long thin run -- bridge / wall band
 37     1   31x16   0.33  0.98  slab    4,0,43,34,46,36   # open silhouette -- archway / frame / plant
 38     1   32x8    0.56  0.98  slab    4,0,25,54,27,55   # long thin run -- bridge / wall band
 39     1   19x13   0.74  0.98  taper   4,0,1,56,3,57   # compact -- prop
 40     1   67x32   0.56  0.98  taper   4,0,41,57,46,59   # compact -- prop
 41    14   16x8    0.56  0.97  taper   4,0,55,11,56,12   # compact -- prop
 42     1   29x7    0.24  0.97  slab    4,0,5,9,7,10   # long thin run -- bridge / wall band
 43     1   26x7    0.31  0.97  slab    4,0,44,10,46,11   # long thin run -- bridge / wall band
 44     1   23x15   0.59  0.97  taper   4,0,17,13,19,14   # compact -- prop
 45     1   15x16   0.40  0.97  slab    4,0,12,42,14,44   # open silhouette -- archway / frame / plant
 46     1    8x36   0.91  0.97  slab    4,0,22,46,23,49   # long thin run -- bridge / wall band
 47     1   15x12   0.34  0.97  slab    4,0,28,52,30,53   # open silhouette -- archway / frame / plant
